neighbourhood_group,neighbourhood,room_type,minimum_nights,price
0,6,2,1,21
1,23,1,3,495
1,28,1,3,123
0,21,0,3,55
0,22,0,5,150
0,3,0,3,75
1,19,0,2,113
1,8,1,7,145
1,19,1,3,149
2,56,2,3,60
1,14,1,3,225
0,24,0,1,75
1,102,1,2,80
0,15,0,3,41
0,54,0,4,35
0,6,0,30,60
2,44,1,30,140
1,7,1,1,450
1,7,1,30,220
0,13,0,30,48
0,10,0,2,77
0,15,0,2,45
1,50,1,3,255
0,12,1,1,285
0,21,1,4,130
1,9,1,1,200
0,29,0,2,55
1,19,0,7,60
0,29,0,2,100
2,152,0,1,50
1,1,0,1,70
0,12,0,3,200
0,22,1,2,100
1,9,0,6,75
0,29,1,2,120
1,11,1,3,495
2,25,1,20,85
0,22,0,1,55
1,19,0,2,100
0,6,1,1,90
0,21,1,3,135
1,7,1,2,395
0,22,1,2,115
1,2,2,1,50
0,54,0,30,48
0,15,1,2,155
0,10,1,2,179
0,21,0,10,40
1,8,1,4,100
0,21,1,2,200
1,27,1,2,290
2,107,0,2,65
1,1,2,4,165
1,27,1,1,125
0,6,1,2,150
1,2,0,2,49
1,9,0,1,85
0,12,2,1,75
1,19,2,1,99
0,3,0,2,125
0,79,1,30,90
0,21,0,2,78
1,51,0,3,85
1,28,1,30,160
1,11,1,5,157
0,12,0,7,70
1,51,1,1,220
2,44,0,2,50
1,19,0,3,60
0,6,0,3,70
2,31,1,1,125
1,8,1,2,249
0,54,1,2,150
1,28,1,2,170
0,147,0,3,49
0,29,0,3,149
1,5,0,7,80
0,17,1,1,61
1,52,1,1,289
2,56,0,3,300
1,7,1,30,321
0,111,1,18,95
2,118,1,7,120
1,8,0,1,140
1,64,1,3,100
1,18,1,6,71
1,64,0,1,124
0,12,0,3,80
1,7,1,1,180
2,56,1,2,115
1,8,1,4,699
1,45,0,5,50
2,46,0,1,30
2,83,1,3,128
0,20,1,30,90
2,160,2,5,31
0,84,0,2,99
3,158,0,2,89
1,28,1,1,105
1,4,1,4,200
0,15,0,2,59
0,6,1,2,96
1,26,1,30,225
1,27,0,2,140
1,43,0,30,129
1,28,1,2,325
0,20,0,2,85
1,8,1,27,74
2,44,0,3,25
0,6,1,4,115
1,52,0,4,78
1,8,1,2,175
0,12,1,1,269
0,12,0,2,100
0,6,0,2,60
2,56,0,1,75
0,111,0,1,60
1,26,1,3,175
0,21,2,1,28
1,28,1,1,155
1,28,1,7,250
0,20,0,1,130
1,8,0,10,61
1,71,1,30,316
0,21,0,21,74
1,2,0,4,160
0,13,0,1,67
0,0,0,5,60
1,19,0,1,140
1,5,1,5,239
0,96,1,4,149
0,24,1,3,80
1,19,0,1,80
0,21,0,3,40
0,6,0,2,45
1,2,1,5,210
0,21,1,4,120
1,7,1,30,130
1,8,0,7,70
0,33,1,5,160
1,8,0,1,84
1,14,1,30,150
1,68,0,2,75
1,7,0,1,150
1,2,1,30,195
0,21,1,1,109
2,25,1,1,110
0,12,1,3,250
1,7,1,3,165
2,56,1,2,200
1,7,0,1,300
1,1,0,99,79
0,22,2,2,29
0,12,0,3,70
1,2,1,25,99
1,28,1,2,160
2,56,0,1,200
0,54,0,30,53
1,7,1,1,500
0,6,0,3,23
1,23,1,1,190
0,12,1,7,150
0,21,0,1,41
1,8,1,30,167
0,12,0,5,66
0,12,1,2,259
0,6,0,2,99
1,30,0,2,44
2,25,1,2,134
4,181,1,2,75
1,11,1,3,950
0,33,1,1,125
1,60,1,2,135
1,14,1,4,250
0,0,0,1,70
2,25,0,1,55
1,8,1,3,295
2,81,0,3,35
0,76,0,3,35
0,24,0,2,80
0,12,1,3,165
1,28,1,6,200
0,12,1,1,250
0,21,1,3,150
0,6,1,2,99
1,7,0,3,135
1,1,0,1,65
0,12,1,2,300
0,12,0,30,58
0,20,0,4,72
1,19,0,3,121
1,52,1,5,600
1,23,1,2,280
1,30,0,31,40
0,20,2,2,40
1,14,1,3,180
1,28,1,30,393
1,2,1,2,135
0,21,0,2,90
0,12,0,4,60
1,28,1,3,230
1,7,1,5,249
1,2,1,60,200
1,18,0,7,75
0,12,1,4,145
1,26,1,1,450
0,32,1,4,185
0,73,0,2,35
0,22,1,2,97
0,6,2,3,68
0,6,1,10,150
0,79,0,1,70
0,6,0,1,35
0,6,0,3,100
1,102,0,7,169
1,43,0,1,250
1,19,0,3,150
1,2,0,2,60
1,4,0,2,100
0,12,0,4,79
2,152,1,1,75
0,3,0,2,70
1,8,1,3,259
1,7,0,7,150
0,12,0,2,50
1,2,0,2,64
0,21,0,1,35
1,30,0,5,30
0,70,0,30,55
0,12,1,4,181
1,28,1,1,199
1,19,1,2,160
0,21,1,2,100
0,12,1,8,185
1,27,1,2,450
1,8,1,5,220
0,34,1,2,150
1,8,1,30,2000
1,2,1,4,170
1,4,0,3,55
0,21,0,5,90
1,7,1,1,389
0,54,0,1,75
1,7,0,1,92
2,87,0,1,60
1,18,1,10,120
0,82,0,1,85
2,95,0,1,110
1,7,0,2,145
0,12,0,1,98
0,12,1,2,135
1,19,1,2,159
2,62,0,1,53
1,23,1,1,150
0,123,1,1,150
2,56,1,1,84
0,34,1,2,110
1,2,1,31,125
0,21,1,2,93
1,8,1,7,209
4,99,0,2,50
0,6,1,2,120
0,29,0,14,90
